,지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,공사번호,정류장종류,정류장명,정류장유형,대장초기화여부,위도,경도
778,정류장,2209000638,대전광역시 중구 ,36710096,33597,STT0873000,시내버스,샛고개버스정류장,표지설치,1,36.27107379,127.3787607
779,정류장,101415,대전광역시 중구 ,36710087,19361,STT0875000,시내버스,사정공원종점,유개형(도시형),1,36.2984466,127.4049511
786,정류장,2209000645,대전광역시 중구 ,36710076,16510,STT0884000,버스공용,산성초등학교,유개형(도시형),1,36.30040625,127.3854135
787,정류장,2209000646,대전광역시 중구 ,36710076,16505,STT0885000,버스공용,산성초등학교,유개형(도시형),1,36.3007868,127.3857856
791,정류장,2209000651,대전광역시 중구 ,36710086,33473,STT0890000,시내버스,효문화마을입구,유개형(도시형),1,36.28649678,127.3786284
792,정류장,2209000652,대전광역시 중구 ,36710086,16489,STT0891000,버스공용,우남스타원아파트,유개형(도시형),1,36.29372946,127.3831711
793,정류장,2209000653,대전광역시 중구 ,36710086,16489,STT0892000,버스공용,우남스타원아파트,유개형(도시형),1,36.29326163,127.383099
794,정류장,2209000654,대전광역시 중구 ,36710086,16554,STT0893000,버스공용,농산물유통센터,유개형(도시형),1,36.2887388,127.3799915
795,정류장,2209000655,대전광역시 중구 ,36710086,16554,STT0894000,버스공용,농산물유통센터,유개형(도시형),1,36.28841449,127.3800629
796,정류장,2209000657,대전광역시 중구 ,36710086,19397,STT0896000,버스공용,상당,유개형(도시형),1,36.29442005,127.3894857
